SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-26 14:28:37.276757,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
1,DC:A6:32:55:B6:94,2020-07-26 14:28:38.785392,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-56
2,DC:A6:32:55:B6:94,2020-07-26 14:28:39.006475,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
3,DC:A6:32:55:B6:94,2020-07-26 14:28:41.011581,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
4,DC:A6:32:55:B6:94,2020-07-26 14:28:42.045373,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
5,DC:A6:32:55:B6:94,2020-07-26 14:28:44.050346,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-62
6,DC:A6:32:55:B6:94,2020-07-26 14:28:46.055343,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
7,DC:A6:32:55:B6:94,2020-07-26 14:28:48.060463,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
8,DC:A6:32:55:B6:94,2020-07-26 14:28:50.065497,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-62
9,DC:A6:32:55:B6:94,2020-07-26 14:28:52.070428,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
10,DC:A6:32:55:B6:94,2020-07-26 14:28:54.075576,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
11,DC:A6:32:55:B6:94,2020-07-26 14:28:56.080493,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-55
12,DC:A6:32:55:B6:94,2020-07-26 14:28:57.285508,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-62
13,DC:A6:32:55:B6:94,2020-07-26 14:28:59.290493,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-62
14,DC:A6:32:55:B6:94,2020-07-26 14:29:00.830505,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
15,DC:A6:32:55:B6:94,2020-07-26 14:29:01.371704,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
16,DC:A6:32:55:B6:94,2020-07-26 14:29:02.456752,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
17,DC:A6:32:55:B6:94,2020-07-26 14:29:03.005491,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
18,DC:A6:32:55:B6:94,2020-07-26 14:29:04.354213,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
19,DC:A6:32:55:B6:94,2020-07-26 14:29:06.359207,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-55
20,DC:A6:32:55:B6:94,2020-07-26 14:29:08.364317,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
21,DC:A6:32:55:B6:94,2020-07-26 14:29:10.369257,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
22,DC:A6:32:55:B6:94,2020-07-26 14:29:12.374234,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
23,DC:A6:32:55:B6:94,2020-07-26 14:29:14.379289,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-55
24,DC:A6:32:55:B6:94,2020-07-26 14:29:16.384150,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
25,DC:A6:32:55:B6:94,2020-07-26 14:29:18.389159,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-53
26,DC:A6:32:55:B6:94,2020-07-26 14:29:20.394157,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
27,DC:A6:32:55:B6:94,2020-07-26 14:29:21.200414,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
28,DC:A6:32:55:B6:94,2020-07-26 14:29:23.205450,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-55
29,DC:A6:32:55:B6:94,2020-07-26 14:29:24.207874,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
30,DC:A6:32:55:B6:94,2020-07-26 14:29:25.005430,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-64
31,DC:A6:32:55:B6:94,2020-07-26 14:29:27.010414,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-63
32,DC:A6:32:55:B6:94,2020-07-26 14:29:28.546706,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-55
33,DC:A6:32:55:B6:94,2020-07-26 14:29:29.369123,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-62
34,DC:A6:32:55:B6:94,2020-07-26 14:29:31.374136,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
35,DC:A6:32:55:B6:94,2020-07-26 14:29:32.077858,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-54
36,DC:A6:32:55:B6:94,2020-07-26 14:29:34.082928,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-62
37,DC:A6:32:55:B6:94,2020-07-26 14:29:36.087976,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-55
38,DC:A6:32:55:B6:94,2020-07-26 14:29:38.093029,30e132d4-cf76-11ea-99d3-dca63255b693,1,1,1,-64
