SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 20:24:39.033486,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
1,DC:A6:32:55:B6:94,2020-07-25 20:24:41.038454,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
2,DC:A6:32:55:B6:94,2020-07-25 20:24:42.134656,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
3,DC:A6:32:55:B6:94,2020-07-25 20:24:44.041008,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
4,DC:A6:32:55:B6:94,2020-07-25 20:24:45.128446,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
5,DC:A6:32:55:B6:94,2020-07-25 20:24:46.488497,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
6,DC:A6:32:55:B6:94,2020-07-25 20:24:47.851056,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
7,DC:A6:32:55:B6:94,2020-07-25 20:24:48.009743,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
8,DC:A6:32:55:B6:94,2020-07-25 20:24:50.014883,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
9,DC:A6:32:55:B6:94,2020-07-25 20:24:52.019869,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
10,DC:A6:32:55:B6:94,2020-07-25 20:24:53.693651,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
11,DC:A6:32:55:B6:94,2020-07-25 20:24:55.065517,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
12,DC:A6:32:55:B6:94,2020-07-25 20:24:56.008758,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
13,DC:A6:32:55:B6:94,2020-07-25 20:24:58.013804,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
14,DC:A6:32:55:B6:94,2020-07-25 20:24:59.141305,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
15,DC:A6:32:55:B6:94,2020-07-25 20:25:01.146357,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
16,DC:A6:32:55:B6:94,2020-07-25 20:25:02.665376,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
17,DC:A6:32:55:B6:94,2020-07-25 20:25:03.880188,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
18,DC:A6:32:55:B6:94,2020-07-25 20:25:04.042641,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
19,DC:A6:32:55:B6:94,2020-07-25 20:25:05.941482,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
20,DC:A6:32:55:B6:94,2020-07-25 20:25:06.047676,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
21,DC:A6:32:55:B6:94,2020-07-25 20:25:08.052782,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
22,DC:A6:32:55:B6:94,2020-07-25 20:25:10.057916,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
23,DC:A6:32:55:B6:94,2020-07-25 20:25:11.214108,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
24,DC:A6:32:55:B6:94,2020-07-25 20:25:13.219156,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-55
25,DC:A6:32:55:B6:94,2020-07-25 20:25:14.100530,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
26,DC:A6:32:55:B6:94,2020-07-25 20:25:15.190460,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
27,DC:A6:32:55:B6:94,2020-07-25 20:25:16.377409,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
28,DC:A6:32:55:B6:94,2020-07-25 20:25:17.099278,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
29,DC:A6:32:55:B6:94,2020-07-25 20:25:18.172393,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
30,DC:A6:32:55:B6:94,2020-07-25 20:25:19.093124,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
31,DC:A6:32:55:B6:94,2020-07-25 20:25:21.098325,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
32,DC:A6:32:55:B6:94,2020-07-25 20:25:23.103331,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
33,DC:A6:32:55:B6:94,2020-07-25 20:25:24.430845,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
34,DC:A6:32:55:B6:94,2020-07-25 20:25:26.060867,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
35,DC:A6:32:55:B6:94,2020-07-25 20:25:28.065968,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
36,DC:A6:32:55:B6:94,2020-07-25 20:25:30.070994,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
37,DC:A6:32:55:B6:94,2020-07-25 20:25:31.287282,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
38,DC:A6:32:55:B6:94,2020-07-25 20:25:32.324697,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
39,DC:A6:32:55:B6:94,2020-07-25 20:25:33.664783,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
40,DC:A6:32:55:B6:94,2020-07-25 20:25:34.218427,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
41,DC:A6:32:55:B6:94,2020-07-25 20:25:35.033457,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
42,DC:A6:32:55:B6:94,2020-07-25 20:25:36.184136,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
43,DC:A6:32:55:B6:94,2020-07-25 20:25:38.188557,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
