SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 20:22:38.407479,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
1,DC:A6:32:55:B6:94,2020-07-25 20:22:39.857310,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
2,DC:A6:32:55:B6:94,2020-07-25 20:22:40.087723,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
3,DC:A6:32:55:B6:94,2020-07-25 20:22:42.092789,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
4,DC:A6:32:55:B6:94,2020-07-25 20:22:44.097906,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
5,DC:A6:32:55:B6:94,2020-07-25 20:22:46.102363,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
6,DC:A6:32:55:B6:94,2020-07-25 20:22:48.106772,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
7,DC:A6:32:55:B6:94,2020-07-25 20:22:50.111852,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
8,DC:A6:32:55:B6:94,2020-07-25 20:22:52.116804,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
9,DC:A6:32:55:B6:94,2020-07-25 20:22:53.094309,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
10,DC:A6:32:55:B6:94,2020-07-25 20:22:55.099355,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
11,DC:A6:32:55:B6:94,2020-07-25 20:22:57.046886,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
12,DC:A6:32:55:B6:94,2020-07-25 20:22:58.051924,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
13,DC:A6:32:55:B6:94,2020-07-25 20:23:00.057006,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
14,DC:A6:32:55:B6:94,2020-07-25 20:23:02.062205,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
15,DC:A6:32:55:B6:94,2020-07-25 20:23:04.067211,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
16,DC:A6:32:55:B6:94,2020-07-25 20:23:05.347163,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
17,DC:A6:32:55:B6:94,2020-07-25 20:23:07.352184,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
18,DC:A6:32:55:B6:94,2020-07-25 20:23:09.357363,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
19,DC:A6:32:55:B6:94,2020-07-25 20:23:11.047372,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
20,DC:A6:32:55:B6:94,2020-07-25 20:23:13.052394,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
21,DC:A6:32:55:B6:94,2020-07-25 20:23:14.089923,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
22,DC:A6:32:55:B6:94,2020-07-25 20:23:15.180040,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-52
23,DC:A6:32:55:B6:94,2020-07-25 20:23:17.078828,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-55
24,DC:A6:32:55:B6:94,2020-07-25 20:23:19.083891,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
25,DC:A6:32:55:B6:94,2020-07-25 20:23:20.061353,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
26,DC:A6:32:55:B6:94,2020-07-25 20:23:22.066411,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-56
27,DC:A6:32:55:B6:94,2020-07-25 20:23:23.010207,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
28,DC:A6:32:55:B6:94,2020-07-25 20:23:24.130201,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-54
29,DC:A6:32:55:B6:94,2020-07-25 20:23:26.029014,74c80d44-cede-11ea-aa0e-dca63255b693,1,1,1,-53
