SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 20:28:26.691905,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-52
1,DC:A6:32:55:B6:94,2020-07-25 20:28:27.016397,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
2,DC:A6:32:55:B6:94,2020-07-25 20:28:29.021799,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
3,DC:A6:32:55:B6:94,2020-07-25 20:28:31.026876,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
4,DC:A6:32:55:B6:94,2020-07-25 20:28:32.839395,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
5,DC:A6:32:55:B6:94,2020-07-25 20:28:33.571817,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
6,DC:A6:32:55:B6:94,2020-07-25 20:28:34.128053,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-52
7,DC:A6:32:55:B6:94,2020-07-25 20:28:36.133163,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
8,DC:A6:32:55:B6:94,2020-07-25 20:28:38.082481,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
9,DC:A6:32:55:B6:94,2020-07-25 20:28:40.087020,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
10,DC:A6:32:55:B6:94,2020-07-25 20:28:41.273255,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-52
11,DC:A6:32:55:B6:94,2020-07-25 20:28:42.187608,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
12,DC:A6:32:55:B6:94,2020-07-25 20:28:43.251398,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
13,DC:A6:32:55:B6:94,2020-07-25 20:28:45.255946,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
