SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 20:38:16.168334,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
1,DC:A6:32:55:B6:94,2020-07-25 20:38:17.547463,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
2,DC:A6:32:55:B6:94,2020-07-25 20:38:18.046007,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
3,DC:A6:32:55:B6:94,2020-07-25 20:38:19.447201,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
4,DC:A6:32:55:B6:94,2020-07-25 20:38:20.803431,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
5,DC:A6:32:55:B6:94,2020-07-25 20:38:21.651422,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
6,DC:A6:32:55:B6:94,2020-07-25 20:38:23.657014,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
7,DC:A6:32:55:B6:94,2020-07-25 20:38:24.599457,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
8,DC:A6:32:55:B6:94,2020-07-25 20:38:26.604483,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
9,DC:A6:32:55:B6:94,2020-07-25 20:38:27.047552,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
10,DC:A6:32:55:B6:94,2020-07-25 20:38:28.405602,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
11,DC:A6:32:55:B6:94,2020-07-25 20:38:29.766801,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
12,DC:A6:32:55:B6:94,2020-07-25 20:38:31.134889,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
13,DC:A6:32:55:B6:94,2020-07-25 20:38:33.140521,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
14,DC:A6:32:55:B6:94,2020-07-25 20:38:35.145404,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
15,DC:A6:32:55:B6:94,2020-07-25 20:38:37.150359,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
16,DC:A6:32:55:B6:94,2020-07-25 20:38:39.155375,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
17,DC:A6:32:55:B6:94,2020-07-25 20:38:41.159595,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
18,DC:A6:32:55:B6:94,2020-07-25 20:38:43.165170,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-55
19,DC:A6:32:55:B6:94,2020-07-25 20:38:45.170186,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
20,DC:A6:32:55:B6:94,2020-07-25 20:38:47.175120,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
21,DC:A6:32:55:B6:94,2020-07-25 20:38:49.079414,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
22,DC:A6:32:55:B6:94,2020-07-25 20:38:51.083911,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-55
23,DC:A6:32:55:B6:94,2020-07-25 20:38:53.088787,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
24,DC:A6:32:55:B6:94,2020-07-25 20:38:55.093700,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
25,DC:A6:32:55:B6:94,2020-07-25 20:38:57.098686,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
26,DC:A6:32:55:B6:94,2020-07-25 20:38:59.103607,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
27,DC:A6:32:55:B6:94,2020-07-25 20:39:00.223489,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
28,DC:A6:32:55:B6:94,2020-07-25 20:39:01.852286,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
29,DC:A6:32:55:B6:94,2020-07-25 20:39:02.146750,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
30,DC:A6:32:55:B6:94,2020-07-25 20:39:04.150265,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
31,DC:A6:32:55:B6:94,2020-07-25 20:39:05.795913,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
32,DC:A6:32:55:B6:94,2020-07-25 20:39:06.204592,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
33,DC:A6:32:55:B6:94,2020-07-25 20:39:08.209600,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
