SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-26 14:35:50.817454,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
1,DC:A6:32:55:B6:94,2020-07-26 14:35:51.014622,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-54
2,DC:A6:32:55:B6:94,2020-07-26 14:35:53.019399,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
3,DC:A6:32:55:B6:94,2020-07-26 14:35:55.024388,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
4,DC:A6:32:55:B6:94,2020-07-26 14:35:57.029473,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
5,DC:A6:32:55:B6:94,2020-07-26 14:35:59.034418,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
6,DC:A6:32:55:B6:94,2020-07-26 14:36:01.039413,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
7,DC:A6:32:55:B6:94,2020-07-26 14:36:03.044518,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-63
8,DC:A6:32:55:B6:94,2020-07-26 14:36:05.049487,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
9,DC:A6:32:55:B6:94,2020-07-26 14:36:07.054607,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
10,DC:A6:32:55:B6:94,2020-07-26 14:36:09.059584,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
11,DC:A6:32:55:B6:94,2020-07-26 14:36:11.064587,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
12,DC:A6:32:55:B6:94,2020-07-26 14:36:12.229540,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
13,DC:A6:32:55:B6:94,2020-07-26 14:36:14.234562,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-54
14,DC:A6:32:55:B6:94,2020-07-26 14:36:15.210802,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
15,DC:A6:32:55:B6:94,2020-07-26 14:36:17.215937,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
16,DC:A6:32:55:B6:94,2020-07-26 14:36:18.202176,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
17,DC:A6:32:55:B6:94,2020-07-26 14:36:20.207201,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
18,DC:A6:32:55:B6:94,2020-07-26 14:36:22.212285,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
19,DC:A6:32:55:B6:94,2020-07-26 14:36:24.215364,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
20,DC:A6:32:55:B6:94,2020-07-26 14:36:26.220956,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
21,DC:A6:32:55:B6:94,2020-07-26 14:36:28.226047,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
22,DC:A6:32:55:B6:94,2020-07-26 14:36:30.231036,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
23,DC:A6:32:55:B6:94,2020-07-26 14:36:32.236080,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
24,DC:A6:32:55:B6:94,2020-07-26 14:36:34.241067,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
25,DC:A6:32:55:B6:94,2020-07-26 14:36:36.245450,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
26,DC:A6:32:55:B6:94,2020-07-26 14:36:37.326107,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-60
27,DC:A6:32:55:B6:94,2020-07-26 14:36:39.331213,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-62
28,DC:A6:32:55:B6:94,2020-07-26 14:36:41.335509,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
29,DC:A6:32:55:B6:94,2020-07-26 14:36:43.341151,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
30,DC:A6:32:55:B6:94,2020-07-26 14:36:45.345601,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
31,DC:A6:32:55:B6:94,2020-07-26 14:36:47.351252,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-53
32,DC:A6:32:55:B6:94,2020-07-26 14:36:49.355720,331a1074-cf77-11ea-9515-dca63255b693,1,1,1,-61
