SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-26 14:33:50.266654,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
1,DC:A6:32:55:B6:94,2020-07-26 14:33:52.271629,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-59
2,DC:A6:32:55:B6:94,2020-07-26 14:33:54.276566,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
3,DC:A6:32:55:B6:94,2020-07-26 14:33:55.169196,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
4,DC:A6:32:55:B6:94,2020-07-26 14:33:57.174131,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
5,DC:A6:32:55:B6:94,2020-07-26 14:33:59.179156,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
6,DC:A6:32:55:B6:94,2020-07-26 14:34:01.184234,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-62
7,DC:A6:32:55:B6:94,2020-07-26 14:34:03.189273,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-54
8,DC:A6:32:55:B6:94,2020-07-26 14:34:04.244810,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
9,DC:A6:32:55:B6:94,2020-07-26 14:34:06.249267,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
10,DC:A6:32:55:B6:94,2020-07-26 14:34:08.254406,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
11,DC:A6:32:55:B6:94,2020-07-26 14:34:10.259364,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-54
12,DC:A6:32:55:B6:94,2020-07-26 14:34:12.264348,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-54
13,DC:A6:32:55:B6:94,2020-07-26 14:34:14.269362,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-59
14,DC:A6:32:55:B6:94,2020-07-26 14:34:16.274409,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
15,DC:A6:32:55:B6:94,2020-07-26 14:34:18.279428,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-54
16,DC:A6:32:55:B6:94,2020-07-26 14:34:20.284499,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
17,DC:A6:32:55:B6:94,2020-07-26 14:34:22.289459,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
18,DC:A6:32:55:B6:94,2020-07-26 14:34:23.008828,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-54
19,DC:A6:32:55:B6:94,2020-07-26 14:34:24.058192,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
20,DC:A6:32:55:B6:94,2020-07-26 14:34:26.063262,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
21,DC:A6:32:55:B6:94,2020-07-26 14:34:28.068286,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
22,DC:A6:32:55:B6:94,2020-07-26 14:34:30.073371,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-53
23,DC:A6:32:55:B6:94,2020-07-26 14:34:32.078305,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
24,DC:A6:32:55:B6:94,2020-07-26 14:34:34.083383,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
25,DC:A6:32:55:B6:94,2020-07-26 14:34:35.018410,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
26,DC:A6:32:55:B6:94,2020-07-26 14:34:37.023432,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
27,DC:A6:32:55:B6:94,2020-07-26 14:34:39.028431,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
28,DC:A6:32:55:B6:94,2020-07-26 14:34:41.033563,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-54
29,DC:A6:32:55:B6:94,2020-07-26 14:34:43.038539,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-60
30,DC:A6:32:55:B6:94,2020-07-26 14:34:45.043595,ec252d20-cf76-11ea-9238-dca63255b693,1,1,1,-61
