SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 20:17:50.325736,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
1,DC:A6:32:55:B6:94,2020-07-25 20:17:51.089039,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
2,DC:A6:32:55:B6:94,2020-07-25 20:17:52.127889,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
3,DC:A6:32:55:B6:94,2020-07-25 20:17:54.132904,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
4,DC:A6:32:55:B6:94,2020-07-25 20:17:56.138089,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
5,DC:A6:32:55:B6:94,2020-07-25 20:17:58.143104,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
6,DC:A6:32:55:B6:94,2020-07-25 20:17:59.461796,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
7,DC:A6:32:55:B6:94,2020-07-25 20:18:01.466905,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
8,DC:A6:32:55:B6:94,2020-07-25 20:18:02.185075,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
9,DC:A6:32:55:B6:94,2020-07-25 20:18:04.189420,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
10,DC:A6:32:55:B6:94,2020-07-25 20:18:06.194526,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
11,DC:A6:32:55:B6:94,2020-07-25 20:18:08.199584,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
12,DC:A6:32:55:B6:94,2020-07-25 20:18:09.020764,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
13,DC:A6:32:55:B6:94,2020-07-25 20:18:11.025856,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
14,DC:A6:32:55:B6:94,2020-07-25 20:18:13.029634,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
15,DC:A6:32:55:B6:94,2020-07-25 20:18:15.034748,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
16,DC:A6:32:55:B6:94,2020-07-25 20:18:17.039770,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
17,DC:A6:32:55:B6:94,2020-07-25 20:18:19.044788,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
18,DC:A6:32:55:B6:94,2020-07-25 20:18:20.121752,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
19,DC:A6:32:55:B6:94,2020-07-25 20:18:22.127474,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
20,DC:A6:32:55:B6:94,2020-07-25 20:18:23.653786,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
21,DC:A6:32:55:B6:94,2020-07-25 20:18:25.658817,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
22,DC:A6:32:55:B6:94,2020-07-25 20:18:26.371338,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
23,DC:A6:32:55:B6:94,2020-07-25 20:18:27.252627,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
24,DC:A6:32:55:B6:94,2020-07-25 20:18:28.343869,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
25,DC:A6:32:55:B6:94,2020-07-25 20:18:29.711435,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-54
26,DC:A6:32:55:B6:94,2020-07-25 20:18:31.015073,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
27,DC:A6:32:55:B6:94,2020-07-25 20:18:33.020278,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
28,DC:A6:32:55:B6:94,2020-07-25 20:18:35.025346,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
29,DC:A6:32:55:B6:94,2020-07-25 20:18:36.971562,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
30,DC:A6:32:55:B6:94,2020-07-25 20:18:37.047778,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
31,DC:A6:32:55:B6:94,2020-07-25 20:18:38.062774,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
32,DC:A6:32:55:B6:94,2020-07-25 20:18:40.067985,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
33,DC:A6:32:55:B6:94,2020-07-25 20:18:41.052917,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-56
34,DC:A6:32:55:B6:94,2020-07-25 20:18:43.057921,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
35,DC:A6:32:55:B6:94,2020-07-25 20:18:44.585443,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
36,DC:A6:32:55:B6:94,2020-07-25 20:18:45.200436,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
37,DC:A6:32:55:B6:94,2020-07-25 20:18:47.034854,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-51
38,DC:A6:32:55:B6:94,2020-07-25 20:18:48.190563,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
39,DC:A6:32:55:B6:94,2020-07-25 20:18:49.820623,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
40,DC:A6:32:55:B6:94,2020-07-25 20:18:50.026210,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-51
41,DC:A6:32:55:B6:94,2020-07-25 20:18:51.181331,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-53
42,DC:A6:32:55:B6:94,2020-07-25 20:18:52.270102,cf47a5dc-cedd-11ea-b82c-dca63255b693,1,1,1,-52
